id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
1186909004141961532,Ezequiel,41.40130415589547,2.159502780499208,$77.00,0,2,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183216056850234202,Maite,41.391447753710416,2.1938696563454023,,0,0,21,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183217040576344489,Joan Marc,41.40234,2.17077,$149.00,14,15,1,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1183219693202376567,Mireia,41.4078872,2.1865711,,0,1,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183248361128738308,David,41.37484,2.18696,$160.00,0,1,31,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1183338578213517034,Alex,41.38850934538788,2.17980998762642,$55.00,15,2,32,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1183357345121830889,Pablo,41.38012,2.16928,$45.00,4,0,32,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1183418623106448217,Joan Marc,41.4013638044292,2.168902115814765,$125.00,11,8,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183421328709517090,Joan Marc,41.40108600595028,2.1687996781783685,$144.00,0,15,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1183423211453322650,Joan Marc,41.40109,2.16912,$122.00,7,10,1,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
1183424894772759027,Joan Marc,41.40087,2.16894,$138.00,8,18,1,2025-03-07,Entire home/apt,Barcelona,2025-04-29,00:00:00
1186973973458204666,MYCOlive - Mani,41.42125844580089,2.151216245016421,$160.00,30,0,31,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1186975408714994970,Sandra,41.39913745070558,2.162732799340269,$238.00,30,10,5,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1187039244564800413,Lorenzo And  Cristina,41.40286969222178,2.174603020465556,$153.00,3,30,1,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1187092942305447079,Karla Daniela,41.40696,2.18828,,0,1,31,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1187400142472714536,Flateli,41.3866286,2.1658098,$274.00,8,21,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1187554123127022605,Blueground,41.3762858,2.1126632,$168.00,0,0,30,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
1187570960958683002,Manuel,41.40685,2.17726,$20.00,1,1,31,2025-03-11,Private room,Barcelona,2025-04-29,00:00:00
1187599285679340171,Jordi,41.38715,2.13518,$169.00,0,0,32,2025-03-11,Entire home/apt,Barcelona,2025-04-30,00:00:00
1187601109106557949,Suzy,41.37841410192263,2.188085739807152,$136.00,0,0,32,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1187601455936952507,Blueground,41.37818,2.19031,$109.00,0,0,30,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1187630303188276369,Cristina,41.4154091,2.1622282,$148.00,27,6,2,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183426589996210036,Joan Marc,41.4008979562968,2.1702782822493103,$121.00,0,10,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1183428269290839829,Joan Marc,41.40096187866317,2.1707420307339405,$150.00,10,15,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1183473787840327843,Serket,41.41232,2.20748,$117.00,30,0,32,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1183496678114616916,Eva,41.4115164,2.1483861,$48.00,29,0,32,2025-03-05,Private room,Barcelona,2025-03-05,00:00:00
1183802544516314564,Homenfun,41.4057717,2.1622821,$170.00,15,7,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1183802671723890953,Homenfun,41.3882874,2.1513266,$98.00,11,22,1,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1183807034686562086,Homenfun,41.3882874,2.1513266,$106.00,0,18,1,2025-03-08,Entire home/apt,Barcelona,2025-03-08,00:00:00
1183819935903366882,Ashweetha,41.38482743502782,2.1731779107646947,$90.00,0,0,31,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183832794462525940,Sweet,41.41101470548907,2.185537910104342,$120.00,30,0,32,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
1183887301587375929,Eugenia,41.402833974302055,2.2138253354244446,$224.00,14,13,2,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1187642824489549568,Bristol,41.39457143080794,2.192575760985045,$240.00,20,21,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1187645509333318491,Jordi,41.3871484,2.1351746,$159.00,16,0,32,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1187664999635491564,Stay U-Nique,41.4067,2.14291,$110.00,2,6,2,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1187813755391033823,Diego,41.38412,2.17308,$89.00,20,18,1,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1187813823474878914,Salvador,41.376392111022426,2.173264150446713,$96.00,0,1,32,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1188155773265159510,Merce,41.3828,2.16507,$74.00,4,3,31,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1188182279562350532,Enrique,41.37742,2.15586,$113.00,4,9,3,2025-03-05,Entire home/apt,Barcelona,2025-04-29,00:00:00
1188185968092170433,Jose Alejo,41.41005,2.17413,,0,1,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1188956848772308293,Kristina,41.38222,2.15251,$86.00,5,13,1,2025-03-12,Private room,Barcelona,2025-03-12,00:00:00
1188957209589601712,Caterina,41.37986,2.16486,,27,0,31,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1188963719958285093,Leonardo,41.390383889506005,2.170326163338576,$175.00,17,12,2,2025-03-06,Entire home/apt,Barcelona,2025-04-30,00:00:00
1188964443225198128,Kristina,41.37742271810768,2.153189207980325,$62.00,4,13,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1188964822446498251,Oscar,41.40816947489966,2.1785609470714844,$117.00,4,10,4,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1188964933843343696,Carlos Andres,41.3824,2.17913,$130.00,0,7,3,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1188968592922225258,Kristina,41.39161,2.1499,$50.00,5,10,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1188970396195337876,Kristina,41.37684,2.15138,$60.00,5,3,1,2025-03-10,Private room,Barcelona,2025-03-10,00:00:00
1188978028985212146,Kristina,41.37853557191457,2.15296873119222,$79.00,5,24,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1188981543216680964,Kristina,41.37706,2.15168,$54.00,0,7,1,2025-03-11,Private room,Barcelona,2025-04-30,00:00:00
1188984114828580887,Kristina,41.38362,2.15203,$80.00,7,4,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1188232786804005752,Loca Bcn,41.38878134309696,2.1553694750908825,$180.00,5,30,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1188235635594547911,Enrique,41.40639,2.17709,$136.00,4,0,3,2025-03-10,Entire home/apt,Barcelona,2025-04-29,00:00:00
1188249118309412657,Loca Bcn,41.37491004860543,2.1546281978026185,$52.00,11,14,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
